Throughput: 109.46
[2025-04-18 16:23:14.827] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:15.212] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:15.596] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4179.968 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:15.994] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:16.371] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:16.756] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:17.139] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:17.523] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:17.911] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:18.296] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:18.679] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:19.060] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:19.450] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:19.831] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:20.216] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:20.603] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:20.986] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:21.372] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:21.760] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4139.776 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:22.142] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:22.538] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:22.925] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:23.310] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:23.693] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:24.078] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:24.465] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:24.848] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:25.237] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:25.621] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:26.004] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:23:26.393] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:26.779] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:27.161] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:27.543] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:27.929] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:28.313] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:28.692] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:29.073] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:23:29.454] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
