Throughput: 32.86
[2025-04-18 16:24:53.369] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:24:53.750] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:24:54.128] VDD_IN: 8655.040 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:54.511] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:24:54.897] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:55.284] VDD_IN: 8534.272 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:24:55.664] VDD_IN: 8628.480 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:56.042] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:56.428] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:56.810] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:24:57.191] VDD_IN: 8534.272 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:57.575] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:57.956] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:58.337] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:58.719] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:59.103] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:59.487] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:24:59.870] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:00.250] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:00.634] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:01.011] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:01.387] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:01.771] VDD_IN: 8534.272 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:02.151] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3376.128 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:25:02.548] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:25:02.934] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 1892.032 mW,
[2025-04-18 16:25:03.317] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:03.701] VDD_IN: 8534.272 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:04.081] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:04.462] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:04.843] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:05.226] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:05.609] VDD_IN: 8534.272 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:05.991] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:06.374] VDD_IN: 8453.760 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:06.754] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 3335.936 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:07.138] VDD_IN: 8614.784 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:07.516] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1851.776 mW,
[2025-04-18 16:25:07.893] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2893.824 mW, VDD_SOC: 1814.400 mW,
