Throughput: 39.49
[2025-04-12 17:39:54.201] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:54.584] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:54.963] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:55.344] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:55.731] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:56.113] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:56.494] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:56.876] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:57.262] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:57.651] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:58.033] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:58.416] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:58.798] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:59.174] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:59.556] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:39:59.940] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:00.326] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:00.710] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:01.093] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:01.473] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:01.855] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 17:40:02.243] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1892.032 mW,
