Throughput: 56.86
[2025-04-12 17:33:39.529] VDD_IN: 10426.304 mW, VDD_CPU_GPU_CV: 4815.360 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:39.901] VDD_IN: 10627.584 mW, VDD_CPU_GPU_CV: 4895.616 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:40.275] VDD_IN: 10708.096 mW, VDD_CPU_GPU_CV: 5016.000 mW, VDD_SOC: 2053.056 mW,
[2025-04-12 17:33:40.649] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 5016.000 mW, VDD_SOC: 2049.792 mW,
[2025-04-12 17:33:41.023] VDD_IN: 10466.560 mW, VDD_CPU_GPU_CV: 4735.104 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:41.398] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:41.772] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:42.146] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:42.520] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4614.720 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:42.892] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:43.267] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:43.646] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4614.720 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:44.020] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:44.393] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:44.766] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:45.141] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:45.515] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:45.889] VDD_IN: 10426.304 mW, VDD_CPU_GPU_CV: 4735.104 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:33:46.264] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:46.641] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:47.012] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:47.385] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:47.763] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:48.140] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:48.515] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:48.894] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:49.271] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:49.643] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:50.022] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:33:50.397] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:33:50.770] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
