Throughput: 56.07
[2025-04-12 17:36:44.862] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:45.243] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:45.631] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:46.019] VDD_IN: 10386.048 mW, VDD_CPU_GPU_CV: 4735.104 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:36:46.399] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:46.789] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:47.173] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:47.553] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:47.929] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:48.307] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:48.692] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:49.076] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:49.459] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:49.849] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:50.236] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:50.620] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 17:36:51.006] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:51.383] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 17:36:51.769] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 1932.288 mW,
