Throughput: 85.85
[2025-04-12 17:21:13.972] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:14.354] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:14.736] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:15.118] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:15.502] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:15.886] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:16.269] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:16.652] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:17.032] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:17.413] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:17.801] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:18.190] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:18.575] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:18.963] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:19.347] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:19.728] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:20.108] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:20.494] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 17:21:20.882] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:21.265] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:21.648] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.033] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.412] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:22.799] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 17:21:23.181] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
