Throughput: 43.23
[2025-04-12 17:30:34.749] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:35.131] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 4614.720 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:35.508] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:35.885] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:36.265] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:36.645] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:37.023] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:37.408] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:37.788] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:38.172] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:38.552] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:38.926] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:39.303] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 2053.056 mW,
[2025-04-12 17:30:39.684] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:30:40.064] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 2012.800 mW,
