Throughput: 58.04
[2025-04-12 18:03:24.240] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:24.622] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:25.009] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 18:03:25.399] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 18:03:25.782] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:26.169] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:26.550] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:26.936] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:27.320] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:27.701] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:28.087] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:28.472] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:28.855] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:29.241] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:29.621] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:30.008] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:30.395] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 18:03:30.777] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:31.159] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:31.537] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:31.916] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:32.298] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:32.679] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:33.064] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:33.445] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:33.832] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.209] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.596] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.983] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:35.371] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:35.755] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:36.137] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:36.514] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:36.899] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
