Throughput: 64.97
[2025-04-12 18:15:50.119] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 18:15:50.499] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 4179.968 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 18:15:50.884] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4179.968 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 18:15:51.261] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:51.641] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:52.024] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:52.402] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:52.779] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:53.155] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:53.538] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:53.914] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:54.294] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:54.673] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
[2025-04-12 18:15:55.050] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1851.776 mW,
