Throughput: 95.04
[2025-04-12 18:03:23.681] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:24.066] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:24.452] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:24.833] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:25.217] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:25.601] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:25.990] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:26.371] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:26.753] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:27.140] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:27.528] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:27.908] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:28.292] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:28.673] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:29.059] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:29.444] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:29.825] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:30.205] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:30.585] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:30.965] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:31.351] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:31.736] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:32.119] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:32.509] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:32.896] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:33.278] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:33.662] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.046] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.429] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:34.813] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:35.196] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:35.581] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:35.965] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:36.351] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:36.733] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:37.121] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:37.512] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:37.893] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:03:38.281] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1814.400 mW,
