Throughput: 36.43
[2025-04-12 17:54:07.821] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:08.199] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:08.577] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:08.959] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:09.336] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:09.718] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:10.096] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:10.472] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:10.851] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:11.232] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:11.611] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:11.989] VDD_IN: 8789.760 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:12.366] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:12.745] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:13.126] VDD_IN: 8695.296 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:13.509] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:13.887] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:14.264] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:14.643] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:15.023] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:15.401] VDD_IN: 8668.800 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:15.778] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 17:54:16.156] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
