Throughput: 32.79
[2025-04-12 18:47:04.375] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:04.764] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:05.149] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:05.529] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:05.912] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:06.299] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:06.684] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:07.068] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:07.453] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:07.834] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:08.219] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:08.601] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:08.981] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:09.368] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:09.747] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:10.124] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:10.504] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:10.890] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:11.277] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:11.660] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:12.043] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:12.427] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:12.819] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:13.197] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:13.586] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:13.969] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:14.355] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:14.742] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:15.123] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:15.505] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:15.886] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:16.266] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:16.651] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:17.033] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:17.418] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:17.803] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1854.720 mW,
[2025-04-12 18:47:18.179] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 1814.400 mW,
[2025-04-12 18:47:18.558] VDD_IN: 7136.640 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1774.080 mW,
[2025-04-12 18:47:18.941] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1774.080 mW,
