Throughput: 66.54
[2025-04-12 19:05:39.042] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:39.420] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:39.802] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:40.189] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:40.575] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:40.955] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:41.343] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:41.728] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:42.114] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:42.496] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:42.882] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:43.266] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:43.654] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:44.032] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:44.420] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:44.803] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:45.185] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:45.569] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:45.955] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:46.333] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:46.721] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:47.103] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:47.480] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:47.861] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:48.247] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:48.636] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:49.019] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:49.401] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:49.784] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:50.168] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:50.552] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:50.928] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:51.309] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:51.692] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:52.079] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1892.032 mW,
[2025-04-12 19:05:52.456] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:52.842] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 4059.392 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:53.226] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 4019.200 mW, VDD_SOC: 1932.288 mW,
[2025-04-12 19:05:53.609] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1932.288 mW,
