Throughput: 62.51
[2025-04-12 19:08:43.787] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:08:44.168] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:08:44.547] VDD_IN: 10386.048 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:08:44.921] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:45.297] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:45.676] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:46.053] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:46.436] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:46.816] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:47.195] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:47.576] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:47.956] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:48.342] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4614.720 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:48.719] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:49.094] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:49.475] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:49.854] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:50.238] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:50.619] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:51.004] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:51.384] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:51.764] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:52.146] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:52.528] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4614.720 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:52.905] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:53.286] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:53.671] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4534.464 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:54.054] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:54.433] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:54.817] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:55.199] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:55.585] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:55.968] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4574.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:56.352] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:56.730] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:57.106] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:57.488] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:57.871] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:08:58.254] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4494.336 mW, VDD_SOC: 1972.544 mW,
