Throughput: 106.09
[2025-04-12 19:11:49.272] VDD_IN: 10386.048 mW, VDD_CPU_GPU_CV: 4735.104 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:11:49.659] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4694.976 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:11:50.040] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4654.848 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:11:50.419] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:11:50.806] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 1972.544 mW,
[2025-04-12 19:11:51.197] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:51.583] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:51.969] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:52.365] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:52.760] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:53.146] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:53.534] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:53.917] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:54.300] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:54.685] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:55.080] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:55.466] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:55.860] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:56.252] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:56.644] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:57.035] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:57.422] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:57.807] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:58.200] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:58.591] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4414.080 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:58.978] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:59.365] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4454.208 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:11:59.753] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:00.149] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:00.532] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:00.922] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:01.307] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:01.697] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:02.089] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4293.696 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:02.477] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:02.865] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2012.800 mW,
[2025-04-12 19:12:03.254] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4333.824 mW, VDD_SOC: 2012.800 mW,
