Throughput: 30.36
[2025-04-18 14:26:40.675] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:41.053] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:41.436] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:41.815] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:42.193] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:42.574] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:42.954] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:43.335] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:43.711] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:26:44.092] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:44.469] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:26:44.846] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:45.224] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:45.606] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:45.988] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:46.369] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:46.749] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:47.127] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:47.507] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:47.885] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:48.263] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:48.642] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:49.024] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:49.408] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:49.784] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:50.166] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:50.542] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:50.921] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:26:51.304] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2053.056 mW,
