Throughput: 25.22
[2025-04-18 14:18:38.344] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:38.720] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:39.095] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:39.472] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:39.844] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:40.214] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:40.582] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:40.953] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:41.322] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:41.700] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:42.073] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:42.442] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:42.814] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:43.191] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:43.563] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:43.935] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:44.308] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:44.682] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.056] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.428] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.799] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:46.174] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:46.544] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:46.917] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
