Throughput: 20.97
[2025-04-18 14:21:48.830] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 14:21:49.218] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:49.598] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:49.983] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:50.364] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:50.746] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:51.125] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:51.505] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:51.884] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:52.262] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:52.645] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:53.028] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:53.410] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:53.792] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:54.171] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:54.556] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:54.939] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:55.321] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:55.701] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:56.083] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:56.463] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:56.846] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:57.228] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:57.609] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:57.989] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:58.371] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:58.756] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:59.139] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:59.521] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:21:59.903] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:00.282] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:00.663] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:01.043] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:01.428] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:01.809] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:02.190] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:02.577] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:02.956] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:03.337] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:22:03.722] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2016.000 mW,
