Throughput: 45.40
[2025-04-18 14:17:02.455] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:02.827] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:03.198] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:03.575] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:03.954] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:04.326] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:04.703] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.074] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.450] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:05.827] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.199] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.571] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:06.951] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 14:17:07.326] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
