Throughput: 37.66
[2025-04-18 14:18:38.783] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:39.156] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:39.535] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:39.910] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:40.281] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:40.656] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:41.032] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:41.405] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:41.782] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:42.156] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:42.527] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:42.901] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:43.271] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:18:43.642] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:44.014] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:44.387] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:44.762] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.134] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.507] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:45.880] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1895.040 mW,
[2025-04-18 14:18:46.253] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
