Throughput: 43.79
[2025-04-18 14:34:36.368] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:34:36.746] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:37.130] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:37.516] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2411.520 mW,
[2025-04-18 14:34:37.887] VDD_IN: 10627.584 mW, VDD_CPU_GPU_CV: 4253.568 mW, VDD_SOC: 2532.096 mW,
[2025-04-18 14:34:38.266] VDD_IN: 10547.072 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2375.104 mW,
[2025-04-18 14:34:38.651] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2214.080 mW,
[2025-04-18 14:34:39.030] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:39.416] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:39.801] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:40.188] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:40.574] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:40.959] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:41.344] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:41.726] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:42.118] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:42.499] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:42.878] VDD_IN: 10466.560 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2532.096 mW,
[2025-04-18 14:34:43.253] VDD_IN: 10547.072 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2572.288 mW,
[2025-04-18 14:34:43.624] VDD_IN: 10627.584 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2375.104 mW,
[2025-04-18 14:34:44.007] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2214.080 mW,
[2025-04-18 14:34:44.390] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:44.774] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2334.848 mW,
[2025-04-18 14:34:45.160] VDD_IN: 10547.072 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2612.480 mW,
[2025-04-18 14:34:45.533] VDD_IN: 10627.584 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2451.712 mW,
[2025-04-18 14:34:45.917] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2254.336 mW,
[2025-04-18 14:34:46.302] VDD_IN: 10104.256 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2173.824 mW,
[2025-04-18 14:34:46.689] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:47.071] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2173.824 mW,
[2025-04-18 14:34:47.453] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:47.835] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:48.222] VDD_IN: 10023.744 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:48.606] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:48.990] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:49.372] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:49.761] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:50.147] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:34:50.533] VDD_IN: 9943.232 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2133.568 mW,
[2025-04-18 14:34:50.919] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2294.592 mW,
