Throughput: 58.52
[2025-04-18 14:33:01.796] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:02.178] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:02.564] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:02.946] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:03.336] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:03.719] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:04.106] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:04.491] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:04.871] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:05.254] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:05.642] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 1811.520 mW,
[2025-04-18 14:33:06.028] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:06.407] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:06.788] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:07.175] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1811.520 mW,
[2025-04-18 14:33:07.563] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:07.946] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:08.332] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:08.717] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:09.094] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:09.484] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:09.865] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:10.256] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:10.645] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 1811.520 mW,
[2025-04-18 14:33:11.032] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1811.520 mW,
[2025-04-18 14:33:11.418] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:11.799] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:12.185] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:12.565] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 14:33:12.953] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1811.520 mW,
