Throughput: 49.23
[2025-04-14 16:13:20.673] VDD_IN: 12338.944 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:21.048] VDD_IN: 12218.368 mW, VDD_CPU_GPU_CV: 4206.720 mW, VDD_SOC: 3617.280 mW,
[2025-04-14 16:13:21.423] VDD_IN: 12218.368 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:21.796] VDD_IN: 12419.328 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:22.167] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:22.539] VDD_IN: 12620.288 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3691.776 mW,
[2025-04-14 16:13:22.912] VDD_IN: 12660.480 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:23.282] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:23.656] VDD_IN: 12379.136 mW, VDD_CPU_GPU_CV: 4246.784 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:24.027] VDD_IN: 12539.904 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:24.400] VDD_IN: 12338.944 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:24.779] VDD_IN: 12338.944 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:25.150] VDD_IN: 12338.944 mW, VDD_CPU_GPU_CV: 4246.784 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:25.521] VDD_IN: 12459.520 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3737.856 mW,
[2025-04-14 16:13:25.889] VDD_IN: 12660.480 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:26.258] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 4447.104 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:26.634] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 4447.104 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:27.004] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3691.776 mW,
[2025-04-14 16:13:27.371] VDD_IN: 12499.712 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:27.745] VDD_IN: 12499.712 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3737.856 mW,
[2025-04-14 16:13:28.118] VDD_IN: 12620.288 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:28.489] VDD_IN: 12419.328 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:28.866] VDD_IN: 12298.752 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:29.235] VDD_IN: 12298.752 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:29.605] VDD_IN: 12419.328 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:29.975] VDD_IN: 12620.288 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:30.348] VDD_IN: 12258.560 mW, VDD_CPU_GPU_CV: 4206.720 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:30.721] VDD_IN: 12459.520 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:31.090] VDD_IN: 12539.904 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:31.464] VDD_IN: 12660.480 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:31.838] VDD_IN: 12459.520 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3697.664 mW,
[2025-04-14 16:13:32.207] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 4326.912 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:32.574] VDD_IN: 12781.056 mW, VDD_CPU_GPU_CV: 4407.040 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:32.944] VDD_IN: 12459.520 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3691.776 mW,
[2025-04-14 16:13:33.319] VDD_IN: 12620.288 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:33.691] VDD_IN: 12660.480 mW, VDD_CPU_GPU_CV: 4447.104 mW, VDD_SOC: 3772.032 mW,
[2025-04-14 16:13:34.061] VDD_IN: 12580.096 mW, VDD_CPU_GPU_CV: 4366.976 mW, VDD_SOC: 3731.904 mW,
[2025-04-14 16:13:34.431] VDD_IN: 12459.520 mW, VDD_CPU_GPU_CV: 4286.848 mW, VDD_SOC: 3657.472 mW,
[2025-04-14 16:13:34.805] VDD_IN: 12218.368 mW, VDD_CPU_GPU_CV: 4206.720 mW, VDD_SOC: 3617.280 mW,
[2025-04-14 16:13:35.181] VDD_IN: 11454.720 mW, VDD_CPU_GPU_CV: 3571.392 mW, VDD_SOC: 3536.896 mW,
