Throughput: 38.40
[2025-04-14 16:11:39.054] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 16:11:39.446] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:39.828] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:40.215] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:40.601] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:40.982] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:41.369] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:41.749] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.131] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.516] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.902] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:43.289] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:43.674] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.059] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.438] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.824] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:45.206] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:45.588] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1935.360 mW,
