Throughput: 22.81
[2025-04-14 16:18:06.430] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:06.818] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:07.197] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:07.579] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:07.965] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:08.346] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:08.722] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:09.105] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:09.488] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:09.875] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:10.256] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:10.641] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:11.024] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:11.404] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:11.790] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:12.172] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:12.554] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:12.932] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:13.310] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:13.694] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:14.079] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:14.463] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:14.851] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:15.233] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:15.614] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:16.000] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:16.380] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:16.765] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:17.147] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:17.530] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:17.916] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:18.299] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:18.685] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:19.070] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:19.452] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3295.744 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:19.832] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:20.210] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3255.552 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:18:20.589] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 16:18:20.964] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2612.480 mW, VDD_SOC: 2053.056 mW,
