Throughput: 55.19
[2025-04-14 16:11:39.467] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:39.849] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:40.239] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:40.626] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:41.013] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:41.400] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:41.788] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.173] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.560] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:42.948] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:43.333] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:43.717] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.107] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.489] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:44.874] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:45.260] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:45.646] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:46.032] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:46.415] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:46.799] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:47.180] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:47.568] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:47.951] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:48.334] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:48.716] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:49.106] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:49.483] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:49.868] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:50.254] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:50.635] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:51.022] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:51.405] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:51.792] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:52.177] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:52.564] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:52.952] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:53.336] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:53.724] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 16:11:54.107] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
