Throughput: 34.90
[2025-04-14 16:38:39.189] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:39.567] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:39.948] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:40.330] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:40.709] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:41.089] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:41.466] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:41.841] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:42.216] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:42.592] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:42.972] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:43.349] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:43.724] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:44.109] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:44.485] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:44.869] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:45.247] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:45.631] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:46.011] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:46.395] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:38:46.780] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
