Throughput: 41.67
[2025-04-14 16:40:13.111] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 16:40:13.496] VDD_IN: 8749.440 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:40:13.884] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 16:40:14.268] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:14.649] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:15.031] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:15.422] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:15.798] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:16.181] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:16.565] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:16.948] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:17.336] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:17.727] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:18.104] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:18.489] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:18.874] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:19.259] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:19.641] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:20.021] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3215.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:20.405] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:20.784] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:21.170] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:21.555] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:21.938] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3094.784 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:22.321] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:22.704] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:23.093] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:23.482] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3134.976 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:23.863] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:40:24.250] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3175.168 mW, VDD_SOC: 2093.312 mW,
