Throughput: 87.52
[2025-04-14 16:51:24.649] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:51:25.035] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:51:25.415] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:51:25.797] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 16:51:26.182] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:26.566] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:26.952] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1851.776 mW,
[2025-04-14 16:51:27.334] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:27.721] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.109] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.490] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:28.871] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:29.252] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:29.642] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.019] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.400] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:30.785] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.168] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.543] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:31.923] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:32.302] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:32.680] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.066] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.446] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:33.825] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.209] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.592] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:34.971] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:35.351] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:35.739] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:36.117] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:36.494] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:36.874] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:37.254] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:37.637] VDD_IN: 9017.344 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:38.015] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:38.397] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:38.779] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 16:51:39.160] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1892.032 mW,
