Throughput: 26.02
[2025-04-14 16:53:01.652] VDD_IN: 11937.024 mW, VDD_CPU_GPU_CV: 4046.464 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:02.019] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:02.392] VDD_IN: 11736.064 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:02.764] VDD_IN: 11736.064 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:03.142] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:03.513] VDD_IN: 11776.256 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:03.885] VDD_IN: 11896.832 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:04.259] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:04.633] VDD_IN: 11896.832 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:05.008] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:05.379] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:05.750] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:06.120] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:06.494] VDD_IN: 11896.832 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:06.863] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4046.464 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:07.234] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4046.464 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:07.605] VDD_IN: 11736.064 mW, VDD_CPU_GPU_CV: 3966.336 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:07.977] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4046.464 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:08.349] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:08.723] VDD_IN: 11776.256 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:09.097] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:09.469] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4046.464 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:09.842] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:10.215] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:10.587] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:10.963] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:11.336] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 3966.336 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:11.709] VDD_IN: 11896.832 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:12.080] VDD_IN: 11816.448 mW, VDD_CPU_GPU_CV: 3966.336 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:12.454] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:12.828] VDD_IN: 11776.256 mW, VDD_CPU_GPU_CV: 3966.336 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:13.202] VDD_IN: 11776.256 mW, VDD_CPU_GPU_CV: 3966.336 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:13.573] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:13.946] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:14.320] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:14.692] VDD_IN: 11856.640 mW, VDD_CPU_GPU_CV: 4006.400 mW, VDD_SOC: 3536.896 mW,
[2025-04-14 16:53:15.063] VDD_IN: 11695.872 mW, VDD_CPU_GPU_CV: 3772.032 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 16:53:15.435] VDD_IN: 10748.352 mW, VDD_CPU_GPU_CV: 3049.728 mW, VDD_SOC: 3376.128 mW,
[2025-04-14 16:53:15.807] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 3335.936 mW,
[2025-04-14 16:53:16.178] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 2652.672 mW, VDD_SOC: 2737.408 mW,
