Throughput: 41.65
[2025-04-14 16:43:24.081] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 16:43:24.467] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:24.853] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:25.233] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:25.617] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:26.002] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:26.387] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:43:26.769] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:27.150] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:27.532] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:27.916] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:28.301] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:28.685] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:29.065] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:29.450] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:29.833] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:30.218] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:30.595] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:30.979] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 16:43:31.362] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:31.744] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:32.128] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:32.514] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 16:43:32.899] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 16:43:33.283] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:33.669] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 16:43:34.050] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:34.432] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 16:43:34.819] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:35.204] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:35.584] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:35.961] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:36.344] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 16:43:36.727] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2093.312 mW,
