Throughput: 38.05
[2025-04-14 16:56:13.893] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:14.276] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:14.665] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.049] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.433] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:15.817] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:16.199] VDD_IN: 9218.624 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:16.588] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:16.974] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:17.358] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:17.749] VDD_IN: 9258.880 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:18.132] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:18.519] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:18.903] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:19.289] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 16:56:19.671] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2012.800 mW,
