Throughput: 35.23
[2025-04-14 17:06:22.827] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 2214.080 mW,
[2025-04-14 17:06:23.211] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 2214.080 mW,
[2025-04-14 17:06:23.595] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:23.975] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2136.960 mW,
[2025-04-14 17:06:24.356] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:24.737] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:25.120] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:25.502] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:25.886] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:26.269] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:26.654] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2136.960 mW,
[2025-04-14 17:06:27.034] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2136.960 mW,
[2025-04-14 17:06:27.416] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2136.960 mW,
[2025-04-14 17:06:27.804] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2136.960 mW,
[2025-04-14 17:06:28.184] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:28.564] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:28.944] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:29.317] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2217.600 mW,
[2025-04-14 17:06:29.701] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:30.081] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:30.465] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:06:30.851] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:31.228] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:31.609] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:31.994] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2214.080 mW,
[2025-04-14 17:06:32.372] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2177.280 mW,
[2025-04-14 17:06:32.749] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:06:33.125] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 17:06:33.500] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:06:33.884] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:06:34.269] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:06:34.647] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 17:06:35.026] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2056.320 mW,
