Throughput: 37.90
[2025-04-14 17:07:58.070] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2697.152 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:07:58.457] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:07:58.836] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:07:59.217] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:07:59.598] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:07:59.983] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:00.368] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:00.748] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:01.126] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:01.508] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:01.889] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:02.271] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:02.656] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:03.042] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:03.429] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:08:03.811] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:08:04.195] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:08:04.570] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:04.954] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:05.340] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:08:05.720] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:06.108] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:06.489] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:08:06.874] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:07.260] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:07.640] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
[2025-04-14 17:08:08.024] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1895.040 mW,
