Throughput: 41.12
[2025-04-14 17:23:55.979] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3892.416 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:56.373] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:23:56.753] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:23:57.135] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:23:57.525] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:57.915] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:58.305] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:58.689] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:59.077] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:23:59.467] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:23:59.854] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:24:00.244] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:00.632] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:24:01.017] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:24:01.404] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:01.791] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:02.174] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:02.564] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:02.955] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:03.338] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:03.725] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:04.110] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:04.498] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:24:04.880] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:05.267] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:24:05.660] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:24:06.047] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1972.544 mW,
