Throughput: 21.77
[2025-04-14 17:20:45.040] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:45.425] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:45.801] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:46.183] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:46.565] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:46.947] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:47.330] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:47.711] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:48.094] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:48.476] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:48.857] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:49.235] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:49.611] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:49.990] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:50.367] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:50.746] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:51.122] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:51.506] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:51.885] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:52.265] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:52.638] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:53.014] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:53.387] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3416.320 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:20:53.773] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3456.512 mW, VDD_SOC: 2093.312 mW,
