Throughput: 48.80
[2025-04-14 17:22:20.738] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 4373.952 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:22:21.123] VDD_IN: 9983.488 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:22:21.510] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:21.896] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:22.275] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:22.653] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:23.033] VDD_IN: 9862.720 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:23.416] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:23.805] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:24.186] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:24.568] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:24.958] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:25.338] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:25.719] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:22:26.103] VDD_IN: 9902.976 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 2012.800 mW,
