Throughput: 47.72
[2025-04-14 17:19:09.397] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:09.782] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:10.164] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:10.550] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:10.943] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:11.325] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:11.715] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:12.101] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:12.481] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:12.860] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:13.248] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3852.288 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:13.625] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3892.416 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:14.010] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:14.398] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3892.416 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:14.776] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3812.160 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:15.168] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:15.555] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:15.944] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:16.336] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:16.720] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:17.109] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:19:17.493] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2053.056 mW,
[2025-04-14 17:19:17.875] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 2053.056 mW,
