Throughput: 36.63
[2025-04-14 17:40:49.294] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2133.568 mW,
[2025-04-14 17:40:49.679] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3617.280 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.062] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.448] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:50.828] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.210] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.597] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:51.977] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:52.370] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:52.753] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.135] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.518] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:53.899] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:54.282] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:54.666] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.049] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.433] VDD_IN: 9299.136 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:55.817] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.196] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.579] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:56.965] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:57.350] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:57.728] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.110] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.491] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:58.870] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:59.253] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:40:59.635] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.019] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.401] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:00.788] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.173] VDD_IN: 9339.392 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.551] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 2093.312 mW,
[2025-04-14 17:41:01.927] VDD_IN: 9379.648 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 2093.312 mW,
