Throughput: 38.63
[2025-04-14 17:42:23.948] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:24.338] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:24.717] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:25.104] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:25.486] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:25.871] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:26.257] VDD_IN: 9621.184 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:26.641] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:27.024] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3979.008 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:27.408] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3898.624 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:27.785] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:28.161] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:28.544] VDD_IN: 9419.904 mW, VDD_CPU_GPU_CV: 3818.240 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:28.932] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:29.313] VDD_IN: 9500.416 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:42:29.697] VDD_IN: 9460.160 mW, VDD_CPU_GPU_CV: 3858.432 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:42:30.081] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 3892.416 mW, VDD_SOC: 1972.544 mW,
