Throughput: 96.42
[2025-04-14 17:34:23.106] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:23.493] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:23.881] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:24.272] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:24.657] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:25.045] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:25.438] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:25.825] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:26.218] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:26.604] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:26.984] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:27.364] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:27.756] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:28.141] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:28.530] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:28.916] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:29.303] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:29.687] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.073] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.467] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.854] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:31.237] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:31.626] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
