Throughput: 33.76
[2025-04-14 17:39:08.088] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:08.468] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:08.843] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:09.225] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:09.609] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:09.988] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:10.369] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:10.750] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.131] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.512] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.895] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:12.277] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:12.659] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:13.041] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
