Throughput: 22.51
[2025-04-14 17:35:58.365] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:58.752] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.136] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.521] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.906] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:00.293] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:00.676] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.065] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.449] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.835] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:02.221] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:02.604] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:02.987] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:03.369] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:03.751] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:04.131] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:04.514] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:04.900] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:05.287] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:05.673] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:06.054] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:06.441] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:06.828] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:07.213] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:07.599] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2737.408 mW,
[2025-04-14 17:36:07.975] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 3180.224 mW,
[2025-04-14 17:36:08.350] VDD_IN: 10064.000 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 3381.504 mW,
[2025-04-14 17:36:08.728] VDD_IN: 10184.768 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 3416.320 mW,
[2025-04-14 17:36:09.098] VDD_IN: 10225.024 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 3456.512 mW,
[2025-04-14 17:36:09.470] VDD_IN: 10265.280 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 3456.512 mW,
[2025-04-14 17:36:09.846] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 17:36:10.224] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 3502.272 mW,
[2025-04-14 17:36:10.601] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 2572.288 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 17:36:10.974] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 17:36:11.349] VDD_IN: 10345.792 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 3502.272 mW,
[2025-04-14 17:36:11.729] VDD_IN: 10305.536 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 3496.704 mW,
[2025-04-14 17:36:12.105] VDD_IN: 10144.512 mW, VDD_CPU_GPU_CV: 2331.136 mW, VDD_SOC: 3462.016 mW,
[2025-04-14 17:36:12.479] VDD_IN: 9540.672 mW, VDD_CPU_GPU_CV: 1969.408 mW, VDD_SOC: 3341.248 mW,
[2025-04-14 17:36:12.852] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 2817.920 mW,
