Throughput: 50.73
[2025-04-14 17:47:09.529] VDD_IN: 9178.368 mW, VDD_CPU_GPU_CV: 3778.048 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 17:47:09.912] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:10.288] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:10.666] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:11.047] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:11.436] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3737.856 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:11.815] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:12.200] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:12.584] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:12.970] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:13.357] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:13.741] VDD_IN: 9138.112 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:14.125] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:14.517] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:14.902] VDD_IN: 9097.856 mW, VDD_CPU_GPU_CV: 3697.664 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 17:47:15.289] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3657.472 mW, VDD_SOC: 1892.032 mW,
