Throughput: 59.28
[2025-04-14 17:37:33.367] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:33.755] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:34.134] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:34.522] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:34.905] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:35.285] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:35.673] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:36.050] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:36.428] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:36.809] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:37.193] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:37.577] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:37.961] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:38.347] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:38.732] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:39.112] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:39.494] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:39.878] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:40.262] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:40.642] VDD_IN: 7701.120 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:41.025] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:41.407] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:41.787] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:42.174] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:42.552] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:42.931] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:43.314] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:43.697] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:44.085] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2415.360 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:44.467] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:44.850] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:45.239] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:45.631] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:46.017] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:46.403] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:46.783] VDD_IN: 7660.800 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:47.166] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:47.553] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:47.941] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:37:48.323] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1814.400 mW,
