Throughput: 42.70
[2025-04-14 17:39:08.909] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:09.291] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:09.677] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:10.065] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:10.446] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:10.827] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.204] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.583] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:11.960] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:12.340] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:12.724] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:13.103] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:13.486] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:13.865] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:14.243] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:14.627] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:15.007] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:15.386] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:15.765] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:16.148] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:16.531] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:16.913] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:17.291] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:17.672] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:18.050] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:18.428] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:39:18.815] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:19.192] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:19.570] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:19.947] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:20.322] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:20.701] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:21.079] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:21.458] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:21.837] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:22.215] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:22.594] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:22.973] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 2012.800 mW,
[2025-04-14 17:39:23.354] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2692.864 mW, VDD_SOC: 1935.360 mW,
[2025-04-14 17:39:23.736] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2656.896 mW, VDD_SOC: 1895.040 mW,
