Throughput: 83.19
[2025-04-14 17:31:11.484] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:11.861] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:12.235] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:12.615] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:12.989] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:13.367] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 17:31:13.746] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:14.123] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2056.320 mW,
[2025-04-14 17:31:14.500] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 17:31:14.881] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:15.255] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:15.637] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:16.015] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:16.396] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:16.777] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:31:17.161] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:31:17.536] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:31:17.913] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:31:18.294] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:18.671] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:19.048] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:19.423] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:19.803] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:20.180] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:20.555] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:20.938] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:21.322] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:21.703] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:22.092] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:22.471] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:22.850] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:23.227] VDD_IN: 7902.720 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:23.609] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:23.989] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:24.368] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:24.751] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:25.132] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2375.104 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:25.508] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
[2025-04-14 17:31:25.890] VDD_IN: 7943.040 mW, VDD_CPU_GPU_CV: 2334.848 mW, VDD_SOC: 2016.000 mW,
