Throughput: 39.36
[2025-04-14 17:35:57.233] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 2532.096 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:57.618] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:58.005] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:58.386] VDD_IN: 8574.528 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:58.769] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 2491.904 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.155] VDD_IN: 8588.160 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.541] VDD_IN: 8547.840 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:35:59.931] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:00.315] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:00.698] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.084] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2451.712 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.472] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:01.853] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
[2025-04-14 17:36:02.237] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2411.520 mW, VDD_SOC: 2173.824 mW,
