Throughput: 37.79
[2025-04-14 17:32:49.022] VDD_IN: 8507.520 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:49.409] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:49.801] VDD_IN: 8467.200 mW, VDD_CPU_GPU_CV: 2813.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:50.187] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:50.572] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:50.954] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2692.864 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:51.338] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:51.726] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:52.119] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:52.502] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2777.664 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:52.894] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:53.284] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:53.674] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:54.055] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:54.438] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2737.408 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:54.819] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2737.408 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:55.207] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2692.864 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:55.589] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:55.972] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:56.356] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:56.740] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:57.125] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:57.513] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:57.897] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:58.284] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:58.668] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:32:59.059] VDD_IN: 8426.880 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:59.444] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2737.408 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:32:59.835] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2737.408 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:33:00.214] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:33:00.603] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:33:00.992] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:33:01.379] VDD_IN: 8305.920 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:33:01.765] VDD_IN: 8346.240 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1972.544 mW,
[2025-04-14 17:33:02.156] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2773.248 mW, VDD_SOC: 1975.680 mW,
[2025-04-14 17:33:02.543] VDD_IN: 8386.560 mW, VDD_CPU_GPU_CV: 2733.056 mW, VDD_SOC: 1975.680 mW,
