Throughput: 62.54
[2025-04-14 17:34:22.324] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:22.715] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:23.106] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:23.505] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:23.898] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:24.293] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:24.682] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:25.069] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:25.461] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:25.849] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:26.235] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:26.617] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:26.998] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:27.385] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:27.771] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:28.152] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:28.543] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:28.926] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:29.317] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 17:34:29.706] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.097] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.488] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:30.878] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:31.260] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:31.652] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:32.029] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
[2025-04-14 17:34:32.413] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 1814.400 mW,
