Throughput: 26.85
[2025-04-18 13:52:20.352] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:20.724] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.097] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.471] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.850] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.226] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.595] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.972] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:23.348] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:23.725] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.097] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.474] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.845] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.216] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.591] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.968] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:26.339] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:26.713] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.092] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.470] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.850] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.227] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.603] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.983] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:29.359] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:29.731] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.109] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.487] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.866] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.243] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.619] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.995] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:32.373] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:32.747] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.118] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.498] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.875] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:34.253] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:34.633] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:35.011] VDD_IN: 7983.360 mW, VDD_CPU_GPU_CV: 2173.824 mW, VDD_SOC: 2136.960 mW,
