Throughput: 41.09
[2025-04-18 14:03:31.787] VDD_IN: 9822.464 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:32.176] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:32.563] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:32.942] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4099.584 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:33.326] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:33.708] VDD_IN: 9580.928 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.089] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.472] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4093.056 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:34.851] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4139.776 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:35.237] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:35.619] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4213.440 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:35.994] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:36.382] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:36.764] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:03:37.142] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:37.525] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4173.312 mW, VDD_SOC: 1932.288 mW,
[2025-04-18 14:03:37.912] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4133.184 mW, VDD_SOC: 1932.288 mW,
