Throughput: 87.97
[2025-04-18 13:55:28.528] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:28.911] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:29.298] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:29.685] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:30.075] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:30.459] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:30.843] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:31.227] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:31.611] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:31.996] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:32.384] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:32.764] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:33.151] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:33.537] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
