Throughput: 39.00
[2025-04-18 14:09:51.895] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:09:52.274] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 1972.544 mW,
[2025-04-18 14:09:52.661] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:53.041] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:53.421] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:53.803] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:54.182] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:54.562] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:54.946] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:55.333] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4052.928 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:55.717] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:56.100] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:56.485] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:56.867] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:57.251] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:57.634] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:58.024] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:58.409] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:58.790] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:59.175] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:59.557] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:09:59.938] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:00.320] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:00.698] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:01.075] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:01.460] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:01.840] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:02.219] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3932.544 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:02.595] VDD_IN: 9661.440 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:02.978] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:03.358] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:03.738] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:04.119] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:04.503] VDD_IN: 9701.696 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:04.888] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 3972.672 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:05.275] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:05.656] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:06.038] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:06.421] VDD_IN: 9741.952 mW, VDD_CPU_GPU_CV: 4012.800 mW, VDD_SOC: 2012.800 mW,
[2025-04-18 14:10:06.798] VDD_IN: 9782.208 mW, VDD_CPU_GPU_CV: 3938.816 mW, VDD_SOC: 2012.800 mW,
