Throughput: 22.75
[2025-04-18 13:57:04.719] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2133.568 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:05.100] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:05.486] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:05.873] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:06.254] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:06.636] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:07.024] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:07.417] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:07.806] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:08.193] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:08.576] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:08.962] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:09.353] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:09.734] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:10.122] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:10.509] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:10.894] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:11.283] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:11.674] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:12.058] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:12.449] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:12.832] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:13.216] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:13.601] VDD_IN: 7862.400 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:13.982] VDD_IN: 7822.080 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:14.369] VDD_IN: 7781.760 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:14.754] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:15.143] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:15.539] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:15.922] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:16.302] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:16.680] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2056.320 mW,
[2025-04-18 13:57:17.062] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
[2025-04-18 13:57:17.449] VDD_IN: 7741.440 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 2016.000 mW,
