Throughput: 47.96
[2025-04-18 13:58:40.142] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:40.536] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 13:58:40.919] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:41.306] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:41.697] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.088] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.480] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.862] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:43.244] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:43.627] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.011] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.397] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.779] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.162] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.545] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.930] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:46.311] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:46.694] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.077] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.475] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.868] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:48.254] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:48.640] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.027] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.407] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.794] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.176] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.564] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.952] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:51.343] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:51.725] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.113] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.500] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.885] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:53.273] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:53.661] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:54.047] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 13:58:54.429] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 1972.544 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:58:54.810] VDD_IN: 7015.680 mW, VDD_CPU_GPU_CV: 1811.520 mW, VDD_SOC: 1774.080 mW,
