Throughput: 52.09
[2025-04-18 14:00:15.594] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:15.977] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:16.362] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:16.745] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:17.122] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:17.502] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:17.884] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:18.265] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:18.646] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:19.026] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:19.401] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:19.777] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:20.156] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:20.538] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 14:00:20.919] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:21.301] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:21.677] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:22.053] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:22.430] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 14:00:22.805] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:23.184] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:23.565] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:23.943] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:24.324] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:24.702] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:25.079] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 14:00:25.459] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1935.360 mW,
