Throughput: 36.28
[2025-04-18 13:52:20.004] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:20.378] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:20.750] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.124] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.496] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:21.870] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.242] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.616] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:22.995] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:23.366] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:23.736] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.113] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.484] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:24.859] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.235] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.607] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:25.975] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:26.346] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:26.716] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.092] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.469] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:27.848] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.228] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.604] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:28.983] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:29.358] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:29.734] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.110] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.485] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:30.866] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.240] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.621] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:31.996] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:32.371] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:32.746] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.118] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.498] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:33.876] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:34.253] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
[2025-04-18 13:52:34.633] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2455.616 mW, VDD_SOC: 2096.640 mW,
