Throughput: 43.61
[2025-04-18 13:58:39.368] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:39.756] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:40.142] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:40.532] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:40.920] VDD_IN: 8023.680 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1935.360 mW,
[2025-04-18 13:58:41.304] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:41.699] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.089] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.480] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:42.869] VDD_IN: 8064.000 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:43.249] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:43.637] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.020] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.408] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:44.792] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.174] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.560] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:45.944] VDD_IN: 8265.600 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:46.327] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:46.712] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.098] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.499] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:47.886] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:48.269] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2616.640 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:48.652] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.037] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.430] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:49.816] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.199] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2495.872 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.584] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:50.979] VDD_IN: 8225.280 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:51.362] VDD_IN: 8184.960 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:51.748] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.136] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.522] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:52.908] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:53.295] VDD_IN: 8104.320 mW, VDD_CPU_GPU_CV: 2576.384 mW, VDD_SOC: 1975.680 mW,
[2025-04-18 13:58:53.684] VDD_IN: 8144.640 mW, VDD_CPU_GPU_CV: 2536.128 mW, VDD_SOC: 1975.680 mW,
