Throughput: 35.23
[2025-04-18 13:55:31.645] VDD_IN: 7620.480 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:32.033] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:32.413] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:32.791] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:33.174] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:33.559] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:33.945] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:34.330] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:34.712] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:35.099] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:35.484] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:35.866] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:36.257] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:36.642] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:37.025] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:37.415] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:37.801] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:38.190] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:38.577] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2294.592 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:38.959] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:39.344] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:39.727] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:40.106] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:40.492] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:40.876] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:41.260] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:41.646] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:42.030] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:42.414] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:42.799] VDD_IN: 7580.160 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:43.186] VDD_IN: 7539.840 mW, VDD_CPU_GPU_CV: 2254.336 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:43.570] VDD_IN: 7499.520 mW, VDD_CPU_GPU_CV: 2214.080 mW, VDD_SOC: 1854.720 mW,
[2025-04-18 13:55:43.947] VDD_IN: 7297.920 mW, VDD_CPU_GPU_CV: 2093.312 mW, VDD_SOC: 1814.400 mW,
[2025-04-18 13:55:44.322] VDD_IN: 7217.280 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 13:55:44.694] VDD_IN: 7096.320 mW, VDD_CPU_GPU_CV: 2053.056 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 13:55:45.075] VDD_IN: 7096.320 mW, VDD_CPU_GPU_CV: 2012.800 mW, VDD_SOC: 1774.080 mW,
[2025-04-18 13:55:45.459] VDD_IN: 6894.720 mW, VDD_CPU_GPU_CV: 1892.032 mW, VDD_SOC: 1733.760 mW,
[2025-04-18 13:55:45.839] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1733.760 mW,
[2025-04-18 13:55:46.221] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1851.776 mW, VDD_SOC: 1733.760 mW,
