Throughput: 57.74
[2025-04-18 14:06:41.639] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3054.592 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:42.022] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:42.408] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:42.794] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:43.174] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:43.568] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:43.955] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:44.338] VDD_IN: 8735.552 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:44.722] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:45.106] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:45.495] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:45.880] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:46.265] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:46.649] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:47.028] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:47.412] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:47.796] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:48.183] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:48.571] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2093.312 mW,
[2025-04-18 14:06:48.957] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:49.343] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:49.733] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:50.121] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:50.505] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:50.891] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:51.278] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:51.667] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:52.050] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:52.432] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:52.814] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:53.200] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:53.583] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:53.970] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:54.352] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:54.738] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:55.121] VDD_IN: 8856.320 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:55.503] VDD_IN: 8816.064 mW, VDD_CPU_GPU_CV: 3014.400 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:55.888] VDD_IN: 8775.808 mW, VDD_CPU_GPU_CV: 2974.208 mW, VDD_SOC: 2053.056 mW,
[2025-04-18 14:06:56.276] VDD_IN: 8709.120 mW, VDD_CPU_GPU_CV: 2893.824 mW, VDD_SOC: 1975.680 mW,
