Throughput: 46.95
[2025-04-14 15:15:35.065] VDD_IN: 7459.200 mW, VDD_CPU_GPU_CV: 1771.264 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:35.435] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:35.806] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:36.171] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:36.542] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:36.911] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:37.281] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:37.649] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:38.018] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:38.391] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:38.763] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:39.130] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:39.499] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:39.871] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:40.240] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:40.608] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:40.977] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:41.348] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:41.716] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:42.083] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:42.456] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:42.823] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:43.189] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:43.561] VDD_IN: 7378.560 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
[2025-04-14 15:15:43.927] VDD_IN: 7418.880 mW, VDD_CPU_GPU_CV: 1731.008 mW, VDD_SOC: 2096.640 mW,
