Throughput: 63.19
[2025-04-14 15:37:14.576] VDD_IN: 9057.600 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:14.943] VDD_IN: 8977.088 mW, VDD_CPU_GPU_CV: 3577.088 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:15.309] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:15.679] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:16.047] VDD_IN: 8870.400 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:16.409] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:16.776] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:17.144] VDD_IN: 8910.720 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:17.507] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:17.875] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:18.243] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:18.605] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:18.970] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:19.339] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3496.704 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:19.706] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:20.073] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:20.442] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:20.811] VDD_IN: 8896.576 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1892.032 mW,
[2025-04-14 15:37:21.181] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1932.288 mW,
[2025-04-14 15:37:21.545] VDD_IN: 8936.832 mW, VDD_CPU_GPU_CV: 3536.896 mW, VDD_SOC: 1932.288 mW,
