Throughput: 165.99
[2025-04-14 15:21:42.624] VDD_IN: 6814.080 mW, VDD_CPU_GPU_CV: 1653.120 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:42.997] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:43.367] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:43.741] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:44.118] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:44.491] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:44.868] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:45.240] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:45.613] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:45.983] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:46.354] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:46.724] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:47.090] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:47.460] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:47.831] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:48.204] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:48.571] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:48.942] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1653.120 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:49.316] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:49.688] VDD_IN: 6733.440 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
[2025-04-14 15:21:50.063] VDD_IN: 6773.760 mW, VDD_CPU_GPU_CV: 1612.800 mW, VDD_SOC: 1854.720 mW,
